,City,Country,Latitude,Longtitude,Time of Searching,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kasongo-Lunda,CD,-6.48,16.82,2018-08-25 19:20:23.802694,68.42,95,80,2.62
1,Kruisfontein,ZA,-34.0,24.73,2018-08-25 19:20:23.802694,57.89,77,0,15.59
2,Bluff,AU,-23.58,149.07,2018-08-25 19:20:23.802694,68.69,71,44,4.52
3,Rikitea,PF,-23.12,-134.97,2018-08-25 19:20:23.802694,72.83,100,0,13.8
4,Butaritari,KI,3.07,172.79,2018-08-25 19:20:23.802694,85.16,100,68,6.76
5,Aktau,KZ,43.65,51.16,2018-08-25 19:20:23.802694,57.2,44,0,8.95
6,Palana,RU,59.08,159.95,2018-08-25 19:20:23.802694,52.58,98,92,3.06
7,Wamba,CD,2.14,27.99,2018-08-25 19:20:23.802694,67.52,96,64,2.51
8,Nikolskoye,RU,59.7,30.79,2018-08-25 19:20:23.802694,57.2,93,75,15.66
9,Tuktoyaktuk,CA,69.44,-133.03,2018-08-25 19:20:23.802694,51.8,62,40,5.82
10,Carnarvon,ZA,-30.97,22.13,2018-08-25 19:20:23.802694,36.92,79,0,13.69
11,Port Alfred,ZA,-33.59,26.89,2018-08-25 19:20:23.802694,59.96,95,0,7.54
12,Ushuaia,AR,-54.81,-68.31,2018-08-25 19:20:23.802694,39.2,80,75,4.7
13,Upernavik,GL,72.79,-56.15,2018-08-25 19:20:23.802694,39.35,97,92,22.08
14,Hermanus,ZA,-34.42,19.24,2018-08-25 19:20:23.802694,45.29,99,92,11.79
15,Salalah,OM,17.01,54.1,2018-08-25 19:20:23.802694,73.4,100,90,2.24
16,Gorin,US,40.36,-92.02,2018-08-25 19:20:23.802694,90.48,62,1,8.05
17,Arraial do Cabo,BR,-22.97,-42.02,2018-08-25 19:20:23.802694,75.62,80,44,14.81
18,Westport,IE,53.8,-9.52,2018-08-25 19:20:23.802694,52.4,92,92,9.44
19,Guerrero Negro,MX,27.97,-114.04,2018-08-25 19:20:23.802694,78.95,59,0,13.13
20,Chestermere,CA,51.04,-113.82,2018-08-25 19:20:23.802694,64.31,29,75,4.7
21,Busselton,AU,-33.64,115.35,2018-08-25 19:20:23.802694,53.39,100,88,8.21
22,Kongoussi,BF,13.32,-1.53,2018-08-25 19:20:23.802694,77.06,75,24,7.09
23,Vaini,IN,15.34,74.49,2018-08-25 19:20:23.802694,67.43,98,92,6.42
24,Trier,DE,49.76,6.64,2018-08-25 19:20:23.802694,46.36,86,1,2.62
25,Xewkija,MT,36.03,14.26,2018-08-25 19:20:23.802694,75.2,78,20,12.75
26,Khatanga,RU,71.98,102.47,2018-08-25 19:20:23.802694,52.4,76,20,13.47
27,Atuona,PF,-9.8,-139.03,2018-08-25 19:20:23.802694,78.86,100,100,19.62
28,Mar del Plata,AR,-46.43,-67.52,2018-08-25 19:20:23.802694,60.23,45,32,25.55
29,Kamina,CD,-8.74,25.0,2018-08-25 19:20:23.802694,64.46,81,0,2.51
30,Portland,US,45.52,-122.67,2018-08-25 19:20:23.802694,69.48,48,90,3.36
31,Kodiak,US,39.95,-94.76,2018-08-25 19:20:23.802694,91.94,52,1,6.93
32,Litovko,RU,49.24,135.18,2018-08-25 19:20:23.802694,67.07,77,92,2.62
33,Tungor,RU,53.39,142.95,2018-08-25 19:20:23.802694,66.89,72,0,4.63
34,Pevek,RU,69.7,170.27,2018-08-25 19:20:23.802694,37.46,100,36,10.45
35,Hobart,AU,-42.88,147.33,2018-08-25 19:20:23.802694,51.8,53,75,17.22
36,Nhulunbuy,AU,-12.18,136.78,2018-08-25 19:20:23.802694,82.4,61,40,6.93
37,Port Elizabeth,US,39.31,-74.98,2018-08-25 19:20:23.802694,75.49,68,1,5.82
38,New Norfolk,AU,-42.78,147.06,2018-08-25 19:20:23.802694,51.8,53,75,17.22
39,Soyo,AO,-6.13,12.37,2018-08-25 19:20:23.802694,69.05,92,12,4.74
40,Bambous Virieux,MU,-20.34,57.76,2018-08-25 19:20:23.802694,73.4,69,40,11.41
